x y T T_exact
0.75 0.80472 144.465 144.455
0.382353 0.728306 117.915 117.897
0.470588 0.966038 103.303 103.301
0.470588 0.575478 147.072 147.036
0.485294 0.583968 147.741 147.707
0.838233 0.940565 122.869 122.864
0.470588 0.983019 101.651 101.653
0.382353 0.711325 119.452 119.433
0.0169484 0.470593 55.454 55.4524
0.544118 0.43114 179.943 179.885
0.235294 0.0668126 255.331 255.029
0.676471 0.779248 140.605 140.591
0.397059 0.906605 105.833 105.828
0.132363 0.634917 81.1819 81.1736
0.0334077 0.471011 60.7266 60.719
0.220589 0.0753922 246.863 246.607
0.485294 0.600949 145.361 145.327
0.397059 0.889624 106.957 106.951
0.588235 0.966038 105.181 105.178
0.426471 0.736796 122.159 122.141
0.220588 0.0917331 236.311 236.092
0.102998 0.634943 74.5184 74.5133
0.0454508 0.583812 61.7707 61.7679
0.588235 0.558497 163.296 163.26
0.367647 0.855662 107.159 107.151
0.602941 0.533026 168.659 168.619
0.544118 0.346236 197.398 197.321
0.529412 0.42265 179.973 179.912
0.617647 0.303783 212.393 212.313
0.617647 0.320764 208.605 208.528
0.470588 0.762268 123.997 123.981
0.441176 0.524535 150.647 150.603
0.176471 0.62642 91.2206 91.2072
0.588235 0.320764 206.744 206.664
0.544118 0.957548 105.576 105.574
0.205883 0.100117 226.986 226.774
0.19118 0.1255 206.361 206.189
0.485332 0.193394 232.719 232.596
0.632353 0.295293 215.035 214.954
0.588235 0.507554 171.19 171.147
0.397059 0.736796 118.876 118.859
0.441176 0.966038 102.827 102.826
0.411765 0.728306 121.358 121.339
0.0350668 0.440989 62.0586 62.0487
0.602941 0.329255 205.844 205.768
0.338235 0.482083 140.196 140.151
0.588235 0.915096 112.873 112.868
0.529412 0.966038 104.23 104.228
0.0883123 0.558512 73.6405 73.6335
0.691176 0.957548 108.982 108.981
0.588235 0.62642 153.472 153.443
0.485294 0.533026 155.335 155.293
0.205883 0.11701 216.552 216.364
0.426479 0.193424 226.675 226.556
0.632353 0.957548 107.443 107.441
0.602941 0.685854 146.754 146.732
0.411767 0.201914 221.991 221.873
0.485294 0.99151 100.884 100.887
