study,solver,paradigm,p,lc,elements,setup_time,solver_time,total_time,extra
strong,steady,mpi,1,0.07,544,0.0181906,0.205349,0.223646,552
strong,steady,mpi,2,0.07,544,0.0370587,0.151577,0.188929,552
strong,unsteady,mpi,1,0.07,544,0.0124539,0.464624,0.477806,1000
strong,unsteady,mpi,2,0.07,544,0.0139466,0.324777,0.338837,1000
weak,steady,mpi,1,0.15,120,0.00680134,0.00158213,0.00841215,116
weak,steady,mpi,2,0.106066,242,0.0112578,0.0162179,0.0275672,247
weak,unsteady,mpi,1,0.15,120,0.00610123,0.0761304,0.0823201,1000
weak,unsteady,mpi,2,0.106066,242,0.0144008,0.145312,0.159903,1000
